lang,label,sentence
en,ovos-skill-volume.openvoiceos:volume.high.intent,volume to high
en,ovos-skill-alerts.openvoiceos:CancelAlert,cancel all reminders
en,ovos-skill-confucius-quotes.openvoiceos:ConfuciusBirth,when was confucius born
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,do you know any jokes
en,ovos-skill-parrot.openvoiceos:repeat.tts.intent,repeat that
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,can you tell jokes
en,ovos-skill-days-in-history.openvoiceos:births_in_history.intent,who was born today in history
en,ovos-skill-screenshot.openvoiceos:take.screenshot.intent,take screenshot
en,ovos-skill-icanhazdadjokes.openvoiceos:search_joke.intent,tell me a joke about dentists
en,ovos-skill-volume.openvoiceos:volume.low.intent,volume level low
en,ovos-skill-personal.OpenVoiceOS.openvoiceos:WhereWereYouBorn.intent,where were you born
en,ovos-skill-iss-location.openvoiceos:where_iss.intent,where is the iss
en,ovos-skill-parrot.openvoiceos:speak.intent,repeat once upon a midnight dreary while i pondered weak and weary over many a quaint and curious volume of forgotten lore
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,say a joke
en,ovos-skill-personal.OpenVoiceOS.openvoiceos:WhatAreYou.intent,what are you
en,ovos-skill-moviemaster.openvoiceos:movie.genres.intent,what genres does the flick _______ belong to
en,ovos-skill-days-in-history.openvoiceos:today_in_history.intent,what historical events happened on june 16th
en,ovos-skill-volume.openvoiceos:volume.unmute.intent,unmute audio
en,ovos-skill-volume.openvoiceos:volume.high.intent,volume to high level
en,ovos-skill-volume.openvoiceos:volume.max.intent,maximum volume
en,ovos-skill-days-in-history.openvoiceos:today_in_history.intent,what happened today in history
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable ready notifications
en,ovos-skill-volume.openvoiceos:volume.low.intent,volume level to low
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,make me laugh
en,ovos-skill-alerts.openvoiceos:CancelAlert,cancel all timers
en,ovos-skill-volume.openvoiceos:volume.default.intent,set volume to medium
en,ovos-skill-parrot.openvoiceos:repeat.stt.intent,tell me what i just said
en,ovos-skill-volume.openvoiceos:volume.default.intent,restore volume
en,ovos-skill-ip.openvoiceos:IPIntent,tell me your ip address
en,ovos-skill-ip.openvoiceos:IPIntent,what's your ip address
en,ovos-skill-volume.openvoiceos:volume.high.intent,volume level to high
en,ovos-skill-volume.openvoiceos:volume.max.intent,max volume
en,ovos-skill-weather.openvoiceos:is_hot_cold,will it be cold on tuesday
en,ovos-skill-weather.openvoiceos:current_temperature,what's the temperature
en,ovos-skill-volume.openvoiceos:volume.default.intent,set volume to default
en,ovos-skill-audio-recording.openvoiceos:start_recording.intent,begin recording
en,ovos-skill-volume.openvoiceos:volume.max.intent,top volume
en,ovos-skill-volume.openvoiceos:volume.low.intent,low volume
en,ovos-skill-personal.OpenVoiceOS.openvoiceos:WhoMadeYou.intent,who made you
en,ovos-skill-audio-recording.openvoiceos:start_recording.intent,start recording
en,ovos-skill-date-time.openvoiceos:what.time.is.it.intent,what time is it
en,ovos-skill-screenshot.openvoiceos:take.screenshot.intent,screenshot the display
en,ovos-skill-volume.openvoiceos:volume.mute.intent,mute
en,ovos-skill-date-time.openvoiceos:what.time.is.it.intent,show me the time
en,ovos-skill-weather.openvoiceos:do-i-need-an-umbrella.intent,is it raining
en,ovos-skill-weather.openvoiceos:daily_temperature,what's the temperature in paris tomorrow in celsius
en,ovos-skill-hello-world.openvoiceos:ThankYouIntent,thank you
en,ovos-skill-volume.openvoiceos:volume.mute.intent,mute volume
en,ovos-skill-volume.openvoiceos:volume.unmute.intent,unmute
en,ovos-skill-volume.openvoiceos:volume.default.intent,set volume level to default
en,ovos-skill-volume.openvoiceos:volume.mute.toggle.intent,toggle audio
en,ovos-skill-dictation.openvoiceos:start_dictation.intent,start dictation
en,ovos-skill-naptime.openvoiceos:naptime.intent,nap time
en,ovos-skill-volume.openvoiceos:volume.unmute.intent,unmute volume
en,ovos-skill-moviemaster.openvoiceos:movie.description.intent,what is the movie _______ about
en,ovos-skill-wallpapers.openvoiceos:picture.random.intent,show me a picture
en,ovos-skill-personal.OpenVoiceOS.openvoiceos:WhenWereYouBorn.intent,when were you created
en,ovos-skill-moviemaster.openvoiceos:movie.popular.intent,what are popular movies playing now
en,ovos-skill-weather.openvoiceos:humidity,what's the humidity
en,ovos-skill-wallpapers.openvoiceos:wallpaper.about.intent,change wallpaper to nature
en,ovos-skill-days-in-history.openvoiceos:today_in_history.intent,tell me about events in history on december 12th
en,ovos-skill-weather.openvoiceos:weather,what is the weather like
en,ovos-skill-color-picker.krisgesling.openvoiceos:request-color-by-name.intent,show me the color green
en,ovos-skill-date-time.openvoiceos:handle_query_date_simple,what's the date
en,ovos-skill-screenshot.openvoiceos:take.screenshot.intent,take a screenshot
en,ovos-skill-weather.openvoiceos:weather,what is the forecast tomorrow
en,ovos-skill-screenshot.openvoiceos:take.screenshot.intent,grab the screen
en,ovos-skill-volume.openvoiceos:volume.low.intent,volume to low
en,ovos-skill-alerts.openvoiceos:ListAlerts,what are my reminders
en,ovos-skill-weather.openvoiceos:weather,what is the weather in houston
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable ready notifications
en,ovos-skill-moviemaster.openvoiceos:movie.top.intent,what are the highest rated movies out
en,ovos-skill-volume.openvoiceos:volume.mute.toggle.intent,toggle mute
en,ovos-skill-naptime.openvoiceos:naptime.intent,go to sleep
en,ovos-skill-parrot.openvoiceos:speak.intent,speak i can say anything you'd like!
en,ovos-skill-parrot.openvoiceos:repeat.tts.intent,repeat what you just said
en,ovos-skill-iss-location.openvoiceos:when_iss.intent,when is the iss passing over
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,how are you
en,ovos-skill-volume.openvoiceos:volume.mute.intent,mute audio
en,ovos-skill-iss-location.openvoiceos:WhoISSIntent,who is on board of the space station
en,ovos-skill-wallpapers.openvoiceos:wallpaper.random.intent,new wallpaper
en,ovos-skill-icanhazdadjokes.openvoiceos:search_joke.intent,do you know any chuck norris jokes
en,ovos-skill-volume.openvoiceos:volume.default.intent,medium volume
en,ovos-skill-audio-recording.openvoiceos:start_recording.intent,new recording named {name}
en,ovos-skill-volume.openvoiceos:volume.default.intent,default volume
en,ovos-skill-screenshot.openvoiceos:take.screenshot.intent,capture the screen
en,ovos-skill-weather.openvoiceos:N_days_forecast,what is the weather for the next three days
en,ovos-skill-weather.openvoiceos:weather,what is the weather going to be like tuesday
en,ovos-skill-parrot.openvoiceos:repeat.stt.intent,what did i just say
en,ovos-skill-volume.openvoiceos:volume.high.intent,volume level high
en,ovos-skill-screenshot.openvoiceos:take.screenshot.intent,save a screenshot
en,ovos-skill-hello-world.openvoiceos:HelloWorldIntent,hello world
en,ovos-skill-volume.openvoiceos:volume.low.intent,volume low
en,ovos-skill-wallpapers.openvoiceos:picture.about.intent,show me a picture with dogs
en,ovos-skill-days-in-history.openvoiceos:deaths_in_history.intent,who died today in history
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is the system ready
en,ovos-skill-parrot.openvoiceos:speak.intent,say goodnight gracie
en,ovos-skill-confucius-quotes.openvoiceos:ConfuciusDeath,when did confucius die
en,ovos-skill-dictation.openvoiceos:stop_dictation.intent,end dictation
en,ovos-skill-iss-location.openvoiceos:NumberISSIntent,how many persons on board of the space station
en,ovos-skill-parrot.openvoiceos:start_parrot.intent,start parrot
en,ovos-skill-parrot.openvoiceos:stop_parrot.intent,stop parrot
en,ovos-skill-audio-recording.openvoiceos:start_recording.intent,start a recording called {name}
en,ovos-skill-audio-recording.openvoiceos:start_recording.intent,start a new audio recording called {name}
en,ovos-skill-moviemaster.openvoiceos:movie.information.intent,do you have info on the film _______
en,ovos-skill-moviemaster.openvoiceos:movie.runtime.intent,how long is the movie _______
en,ovos-skill-moviemaster.openvoiceos:movie.information.intent,look for information on the movie _______
en,ovos-skill-moviemaster.openvoiceos:movie.cast.intent,who plays in the movie _______
en,ovos-skill-moviemaster.openvoiceos:movie.description.intent,tell me about the movie _______
en,ovos-skill-moviemaster.openvoiceos:movie.recommendations.intent,what films do you recommend like _______
en,ovos-skill-date-time.openvoiceos:what.time.is.it.intent,what time is it in paris
en,ovos-skill-date-time.openvoiceos:handle_day_for_date,what day is memorial day 2020
en,ovos-skill-date-time.openvoiceos:handle_query_relative_date,how many days until july 4th
en,ovos-skill-date-time.openvoiceos:handle_weekday,tell me the day of the week
en,ovos-skill-ip.openvoiceos:what.ssid.intent,what network are you connected to
en,ovos-skill-naptime.openvoiceos:WakeUp,wake up
en,ovos-skill-wallpapers.openvoiceos:MakeWallpaperIntent,make that my wallpaper
en,ovos-skill-iss-location.openvoiceos:about.intent,tell me about the iss
en,ocp:play,what's on the album {album_name}
en,ocp:play,play {album_name}
en,ocp:play,play the album {album_name}
en,ocp:play,start from the beginning of {album_name}
en,ocp:play,listen to all songs from {album_name}
en,ocp:play,blast the album {album_name}
en,ocp:play,can you play every song from {album_name}
en,ocp:play,let's start the album {album_name}
en,ocp:play,queue up the album {album_name}
en,ocp:play,listen to {album_name} from start to finish
en,ocp:play,play {album_name} the whole thing
en,ocp:play,i'd like to hear {album_name}
en,ocp:play,queue up the entire {album_name} record
en,ocp:play,queue {album_name}
en,ocp:play,give me the full album {album_name}
en,ocp:play,can you play {album_name}
en,ocp:play,play the full {album_name} album
en,ocp:play,start listening to {album_name}
en,ocp:play,play the full album {album_name}
en,ocp:play,play tracks from {album_name}
en,ocp:play,stream the entire album {album_name}
en,ocp:play,put on the album {album_name}
en,ocp:play,let's start playing {album_name}
en,ocp:play,put on {album_name} now
en,ocp:play,give me the album {album_name}
en,ocp:play,i want to listen to {album_name}
en,ocp:play,make a playlist for {album_name} album
en,ocp:play,spin {album_name}
en,ocp:play,play the album {album_name} in its entirety
en,ocp:play,fire up {album_name}
en,ocp:play,can you play the album {album_name} front to back
en,ocp:play,start the record {album_name}
en,ocp:play,load up the album {album_name}
en,ocp:play,can i hear the full album {album_name}
en,ocp:play,start album mode with {album_name}
en,ocp:play,play songs from {album_name} in order
en,ocp:play,queue up {album_name}'s tracks
en,ocp:play,play everything from {album_name}
en,ocp:play,can you play the whole {album_name} album
en,ocp:play,let's listen to {album_name}
en,ocp:play,start with {album_name}
en,ocp:play,i want to hear all tracks from {album_name}
en,ocp:play,can you play {album_name} from {artist_name}
en,ocp:play,queue the record {album_name} by {artist_name}
en,ocp:play,i'd love to listen to {album_name} from {artist_name}
en,ocp:play,spin {album_name} by {artist_name}
en,ocp:play,put on the album {album_name} by {artist_name}
en,ocp:play,put on {album_name} by {artist_name} right now
en,ocp:play,play every track from {album_name} by {artist_name}
en,ocp:play,play the album {album_name} by {artist_name}
en,ocp:play,play {album_name} by {artist_name}
en,ocp:play,add the album {album_name} by {artist_name} to my playlist
en,ocp:play,get the full {album_name} album by {artist_name} started
en,ocp:play,put on all songs from {album_name} by {artist_name}
en,ocp:play,play {artist_name}'s full album {album_name}
en,ocp:play,can you find {album_name} by {artist_name} for me
en,ocp:play,let’s listen to {album_name} by {artist_name}
en,ocp:play,start with {album_name} by {artist_name}
en,ocp:play,play the full {album_name} album by {artist_name}
en,ocp:play,fire up the album {album_name} by {artist_name}
en,ocp:play,can you play {artist_name}'s album {album_name}
en,ocp:play,play everything from {album_name} by {artist_name}
en,ocp:play,can i listen to the album {album_name} from {artist_name}
en,ocp:play,can you stream {album_name} by {artist_name}
en,ocp:play,play the album {album_name} by {artist_name} now
en,ocp:play,i'd like to listen to {album_name} from {artist_name}
en,ocp:play,start playing {album_name} by {artist_name}
en,ocp:play,queue {album_name} by {artist_name}
en,ocp:play,listen to the album {album_name} from {artist_name}
en,ocp:play,start album {album_name} by {artist_name} now
en,ocp:play,play {album_name} the album by {artist_name}
en,ocp:play,i'd like to hear {album_name} by {artist_name}
en,ocp:play,make a playlist for {album_name} by {artist_name}
en,ocp:play,queue {album_name} from {artist_name}
en,ocp:play,i’d like to hear the full record {album_name} from {artist_name}
en,ocp:play,listen to {artist_name}'s {album_name}
en,ocp:play,get me {album_name} by {artist_name}
en,ocp:play,let me hear {artist_name}
en,ocp:play,show me music by {artist_name}
en,ocp:play,queue {artist_name}'s newest album
en,ocp:play,could you put on {artist_name} for a while
en,ocp:play,start streaming {artist_name}
en,ocp:play,i’m in the mood for {artist_name}
en,ocp:play,play {artist_name}'s greatest hits
en,ocp:play,can you play something by {artist_name}
en,ocp:play,can you play music by {artist_name}
en,ocp:play,i want to hear {artist_name} right now
en,ocp:play,start playing {artist_name}
en,ocp:play,let's go with {artist_name} for now
en,ocp:play,drop me some {artist_name} jams
en,ocp:play,what's playing by {artist_name}
en,ocp:play,play me something from {artist_name}
en,ocp:play,get {artist_name} going
en,ocp:play,let's get some {artist_name} going
en,ocp:play,how about a {artist_name} song right now
en,ocp:play,give me a random song by {artist_name}
en,ocp:play,spin some {artist_name}
en,ocp:play,hit me with some {artist_name}
en,ocp:play,can i get a {artist_name} song
en,ocp:play,start a {artist_name} mix
en,ocp:play,find tracks by {artist_name}
en,ocp:play,start a {artist_name} playlist
en,ocp:play,do you have anything by {artist_name}
en,ocp:play,play a song from {artist_name} for me
en,ocp:play,play music from {artist_name}
en,ocp:play,give me tracks from {artist_name}
en,ocp:play,how about {artist_name} in the background
en,ocp:play,can you load up a {artist_name} playlist
en,ocp:play,i feel like listening to {artist_name}
en,ocp:play,play whatever you have by {artist_name}
en,ocp:play,fire up {artist_name}'s tunes
en,ocp:play,give me a few tracks from {artist_name}
en,ocp:play,i'd like to listen to {artist_name}
en,ocp:play,can you play some {artist_name}
en,ocp:play,get me {artist_name}'s songs right now
en,ocp:play,put on a track by {artist_name}
en,ocp:play,let’s hear a couple of {artist_name}'s songs
en,ocp:play,can you queue up some {artist_name}
en,ocp:play,give me {artist_name}'s music
en,ocp:play,queue up {artist_name}
en,ocp:play,put on a playlist of {artist_name}
en,ocp:play,play a random song by {artist_name}
en,ocp:play,let's hear the best of {artist_name}
en,ocp:play,play something random by {artist_name}
en,ocp:play,put on {artist_name} tunes
en,ocp:play,what songs do you have by {artist_name}
en,ocp:play,i want to listen to {artist_name}'s discography
en,ocp:play,drop some {artist_name} songs
en,ocp:play,play {artist_name}
en,ocp:play,give me some {artist_name} tracks
en,ocp:play,blast some {artist_name}
en,ocp:play,i'd like to hear {artist_name}
en,ocp:play,put {artist_name}'s best songs on
en,ocp:play,give me a playlist of {artist_name}'s music
en,ocp:play,i want to hear {artist_name}
en,ocp:play,play some tracks by {artist_name}
en,ocp:play,start {artist_name} playlist
en,ocp:play,i'd love to listen to {artist_name}
en,ocp:play,can you put on {artist_name} for me
en,ocp:play,can i get some {artist_name} right now
en,ocp:play,load up {artist_name}'s songs
en,ocp:play,can you play some hits from {artist_name}
en,ocp:play,start playing a {artist_name} track
en,ocp:play,put {artist_name} on
en,ocp:play,fire up some {artist_name}
en,ocp:play,let me hear a random {artist_name} song
en,ocp:play,i need some {artist_name} music right now
en,ocp:play,bring on the {artist_name} vibes
en,ocp:play,can i hear {artist_name} please
en,ocp:play,queue up {artist_name}'s tracks
en,ocp:play,how about we listen to {artist_name} today
en,ocp:play,queue up {artist_name}'s top songs
en,ocp:play,how about some {artist_name} music
en,ocp:play,stream {artist_name} for me
en,ocp:play,shuffle songs from {artist_name}
en,ocp:play,play the latest album from {artist_name}
en,ocp:play,start some {artist_name} for me
en,ocp:play,how about some {artist_name}
en,ocp:play,queue music by {artist_name}
en,ocp:play,play {artist_name}'s top hits
en,ocp:play,let's listen to {artist_name}
en,ocp:play,i’m in the mood for {artist_name}'s music
en,ocp:play,put on {artist_name}'s latest tracks
en,ocp:play,i'd like to hear some {artist_name} tracks
en,ocp:play,start with {artist_name}
en,ocp:play,get me {artist_name} music
en,ocp:play,play a mix of {artist_name} songs
en,ocp:play,can you play {artist_name}'s latest album
en,ocp:play,i'd love to hear a song by {artist_name}
en,ocp:play,let's get {artist_name} started
en,ocp:play,put on some {artist_name}
en,ocp:play,play songs by {artist_name}
en,ocp:play,start {artist_name} from {country} right now
en,ocp:play,how about some {artist_name} based in {country}
en,ocp:play,bring up {artist_name}'s hits from {country}
en,ocp:play,play {artist_name}'s tracks from {country}
en,ocp:play,load up {artist_name} from {country}
en,ocp:play,queue some {artist_name} tracks from {country}
en,ocp:play,i want some {artist_name} music from {country}
en,ocp:play,make a playlist for {artist_name} from {country}
en,ocp:play,can you find {artist_name} from {country} for me?
en,ocp:play,play the music of {artist_name} from {country}
en,ocp:play,i'd love to hear {artist_name} from {country}
en,ocp:play,start playing {artist_name} from {country}
en,ocp:play,play {artist_name} from {country}
en,ocp:play,put on music by {artist_name} from {country}
en,ocp:play,i want to hear {artist_name} from {country}
en,ocp:play,play songs by {artist_name} who is from {country}
en,ocp:play,play tunes from {artist_name} who hails from {country}
en,ocp:play,give me {artist_name}'s music from {country}
en,ocp:play,let’s vibe to {artist_name} out of {country}
en,ocp:play,spin some tracks by {artist_name} from {country}
en,ocp:play,let's listen to {artist_name} from {country}
en,ocp:play,queue up {artist_name} from {country}
en,ocp:play,play {artist_name}'s songs from {country}
en,ocp:play,get me music by {artist_name} they're from {country}
en,ocp:play,play {artist_name} a band from {country}
en,ocp:play,fire up music by {artist_name} from {country}
en,ocp:play,show me {artist_name} from {country}
en,ocp:play,can you play {artist_name} from {country}?
en,ocp:play,play {artist_name} from {location}
en,ocp:play,put on music by {artist_name} from {location}
en,ocp:play,i want to hear {artist_name} from {location}
en,ocp:play,i want some {artist_name} music from {location}
en,ocp:play,play {artist_name} a band from {location}
en,ocp:play,let's listen to {artist_name} from {location}
en,ocp:play,play songs by {artist_name} who is from {location}
en,ocp:play,queue up {artist_name} from {location}
en,ocp:play,play the music of {artist_name} from {location}
en,ocp:play,start {artist_name} from {location} right now
en,ocp:play,play {artist_name}'s songs from {location}
en,ocp:play,play {artist_name}'s tracks from {location}
en,ocp:play,give me {artist_name}'s music from {location}
